Date and Time,Time (s),Vertical Force A (N),Vertical Force B (N)
10/26/2019 09:51:54 am,0.0,386.9,331.8
10/26/2019 09:51:54 am,0.001,386.96,331.72
10/26/2019 09:51:54 am,0.002,387.09,332.29
10/26/2019 09:51:54 am,0.003,386.66,332.02
10/26/2019 09:51:54 am,0.004,387.09,332.15
10/26/2019 09:51:54 am,0.005,387.36,331.96
10/26/2019 09:51:54 am,0.006,387.15,332.23
10/26/2019 09:51:54 am,0.006999999999999999,387.55,332.37
10/26/2019 09:51:54 am,0.008,387.23,332.02
10/26/2019 09:51:54 am,0.009000000000000001,387.36,332.42
10/26/2019 09:51:54 am,0.01,387.45,332.39
10/26/2019 09:51:54 am,0.011000000000000001,387.28,332.34
10/26/2019 09:51:54 am,0.012,387.63,332.47
10/26/2019 09:51:54 am,0.013000000000000001,387.44,332.85
10/26/2019 09:51:54 am,0.013999999999999999,387.66,332.37
10/26/2019 09:51:54 am,0.015,387.85,332.77
10/26/2019 09:51:54 am,0.016,387.5,332.47
10/26/2019 09:51:54 am,0.017,387.66,332.5
10/26/2019 09:51:54 am,0.018000000000000002,387.74,332.26
10/26/2019 09:51:54 am,0.019,387.48,332.91
10/26/2019 09:51:54 am,0.02,387.93,332.42
10/26/2019 09:51:54 am,0.021,387.82,332.47
10/26/2019 09:51:54 am,0.022000000000000002,387.79,332.47
10/26/2019 09:51:54 am,0.023,387.9,333.26
10/26/2019 09:51:54 am,0.024,387.77,332.56
10/26/2019 09:51:54 am,0.025,387.34,332.93
10/26/2019 09:51:54 am,0.026000000000000002,387.61,332.91
10/26/2019 09:51:54 am,0.027000000000000003,387.99,333.37
10/26/2019 09:51:54 am,0.027999999999999997,387.85,332.77
10/26/2019 09:51:54 am,0.028999999999999998,387.8,333.09
10/26/2019 09:51:54 am,0.03,387.5,332.88
10/26/2019 09:51:54 am,0.031,387.53,333.5
10/26/2019 09:51:54 am,0.032,387.34,332.5
10/26/2019 09:51:54 am,0.033,387.9,332.93
10/26/2019 09:51:54 am,0.034,387.93,332.85
10/26/2019 09:51:54 am,0.035,387.28,333.26
10/26/2019 09:51:54 am,0.036000000000000004,387.55,333.01
10/26/2019 09:51:54 am,0.037000000000000005,387.14,332.91
10/26/2019 09:51:54 am,0.038,387.12,333.04
10/26/2019 09:51:54 am,0.039,387.45,332.96
10/26/2019 09:51:54 am,0.04,387.99,333.2
10/26/2019 09:51:54 am,0.040999999999999995,387.55,333.23
10/26/2019 09:51:54 am,0.042,387.28,333.34
10/26/2019 09:51:54 am,0.043,387.42,332.93
10/26/2019 09:51:54 am,0.044000000000000004,387.23,332.77
10/26/2019 09:51:54 am,0.045,387.28,332.91
10/26/2019 09:51:54 am,0.046,387.42,332.42
10/26/2019 09:51:54 am,0.047,387.69,333.12
10/26/2019 09:51:54 am,0.048,387.18,333.23
10/26/2019 09:51:54 am,0.049,387.39,332.88
10/26/2019 09:51:54 am,0.05,387.15,332.47
10/26/2019 09:51:54 am,0.051,386.99,332.88
10/26/2019 09:51:54 am,0.052000000000000005,386.93,332.63
10/26/2019 09:51:54 am,0.053,387.45,332.77
10/26/2019 09:51:54 am,0.054000000000000006,387.1,332.8
10/26/2019 09:51:54 am,0.055,387.3,333.07
10/26/2019 09:51:54 am,0.055999999999999994,387.04,332.96
10/26/2019 09:51:54 am,0.057,387.04,332.74
10/26/2019 09:51:54 am,0.057999999999999996,387.12,332.45
10/26/2019 09:51:54 am,0.059000000000000004,386.87,332.99
10/26/2019 09:51:54 am,0.06,387.23,333.09
10/26/2019 09:51:54 am,0.061,387.01,332.82
10/26/2019 09:51:54 am,0.062,386.79,332.31
10/26/2019 09:51:54 am,0.063,386.57,332.77
10/26/2019 09:51:54 am,0.064,386.99,332.88
10/26/2019 09:51:54 am,0.065,386.99,332.47
10/26/2019 09:51:54 am,0.066,386.82,332.5
10/26/2019 09:51:54 am,0.067,387.15,332.58
10/26/2019 09:51:54 am,0.068,386.96,332.85
10/26/2019 09:51:54 am,0.069,387.26,332.48
10/26/2019 09:51:54 am,0.07,386.9,332.2
10/26/2019 09:51:54 am,0.071,386.88,332.12
10/26/2019 09:51:54 am,0.07200000000000001,387.04,332.37
10/26/2019 09:51:54 am,0.073,386.85,332.45
10/26/2019 09:51:54 am,0.07400000000000001,386.53,332.8
10/26/2019 09:51:54 am,0.075,387.14,332.67
10/26/2019 09:51:54 am,0.076,386.69,332.96
10/26/2019 09:51:54 am,0.077,387.28,332.04
10/26/2019 09:51:54 am,0.078,387.15,332.12
10/26/2019 09:51:54 am,0.079,386.74,332.37
10/26/2019 09:51:54 am,0.08,387.28,332.07
10/26/2019 09:51:54 am,0.081,386.77,332.07
10/26/2019 09:51:54 am,0.08199999999999999,386.44,332.72
10/26/2019 09:51:54 am,0.083,386.77,331.99
10/26/2019 09:51:54 am,0.084,386.96,331.91
10/26/2019 09:51:54 am,0.085,386.88,332.04
10/26/2019 09:51:54 am,0.086,386.98,332.69
10/26/2019 09:51:54 am,0.087,386.5,332.18
10/26/2019 09:51:54 am,0.08800000000000001,387.25,332.15
10/26/2019 09:51:54 am,0.08900000000000001,386.75,331.83
10/26/2019 09:51:54 am,0.09,387.15,331.96
10/26/2019 09:51:54 am,0.091,387.09,332.18
10/26/2019 09:51:54 am,0.092,386.98,332.34
10/26/2019 09:51:54 am,0.09300000000000001,387.34,332.31
10/26/2019 09:51:54 am,0.094,386.98,332.1
10/26/2019 09:51:54 am,0.095,387.55,331.99
10/26/2019 09:51:54 am,0.096,386.88,332.18
10/26/2019 09:51:54 am,0.09699999999999999,387.47,331.83
10/26/2019 09:51:54 am,0.098,387.04,332.02
10/26/2019 09:51:54 am,0.099,387.2,331.42
10/26/2019 09:51:54 am,0.1,387.18,331.45
10/26/2019 09:51:54 am,0.10099999999999999,386.71,331.72
10/26/2019 09:51:54 am,0.102,387.58,331.61
10/26/2019 09:51:54 am,0.10300000000000001,387.12,331.72
10/26/2019 09:51:54 am,0.10400000000000001,387.5,331.45
10/26/2019 09:51:54 am,0.105,386.66,331.26
10/26/2019 09:51:54 am,0.106,387.55,330.99
10/26/2019 09:51:54 am,0.107,387.44,331.61
10/26/2019 09:51:54 am,0.10800000000000001,387.23,331.02
10/26/2019 09:51:54 am,0.109,387.36,331.37
10/26/2019 09:51:54 am,0.11,387.44,331.26
10/26/2019 09:51:54 am,0.111,387.44,330.96
10/26/2019 09:51:54 am,0.11199999999999999,387.47,331.42
