Date and Time,Time (s),Vertical Force A (N),Vertical Force B (N)
10/26/2019 09:51:54 am,0.0,388.22,427.79
10/26/2019 09:51:54 am,0.001,388.17,427.62
10/26/2019 09:51:54 am,0.002,388.68,427.57
10/26/2019 09:51:54 am,0.003,388.36,427.92
10/26/2019 09:51:54 am,0.004,388.14,427.92
10/26/2019 09:51:54 am,0.005,388.19,427.7
10/26/2019 09:51:54 am,0.006,388.46,428.03
10/26/2019 09:51:54 am,0.006999999999999999,388.33,427.62
10/26/2019 09:51:54 am,0.008,388.11,427.78
10/26/2019 09:51:54 am,0.009000000000000001,388.49,428.08
10/26/2019 09:51:54 am,0.01,388.06,427.54
10/26/2019 09:51:54 am,0.011000000000000001,388.19,427.79
10/26/2019 09:51:54 am,0.012,388.06,427.97
10/26/2019 09:51:54 am,0.013000000000000001,388.35,427.95
10/26/2019 09:51:54 am,0.013999999999999999,388.33,428.03
10/26/2019 09:51:54 am,0.015,387.9,428.14
10/26/2019 09:51:54 am,0.016,388.2,427.84
10/26/2019 09:51:54 am,0.017,388.35,428.03
10/26/2019 09:51:54 am,0.018000000000000002,388.39,428.05
10/26/2019 09:51:54 am,0.019,388.17,427.97
10/26/2019 09:51:54 am,0.02,388.3,427.68
10/26/2019 09:51:54 am,0.021,388.52,428.14
10/26/2019 09:51:54 am,0.022000000000000002,388.01,427.52
10/26/2019 09:51:54 am,0.023,387.89,427.89
10/26/2019 09:51:54 am,0.024,388.09,427.89
10/26/2019 09:51:54 am,0.025,388.6,428.11
10/26/2019 09:51:54 am,0.026000000000000002,388.22,427.54
10/26/2019 09:51:54 am,0.027000000000000003,388.46,427.84
10/26/2019 09:51:54 am,0.027999999999999997,388.36,427.89
10/26/2019 09:51:54 am,0.028999999999999998,388.12,428.16
10/26/2019 09:51:54 am,0.03,388.22,427.81
10/26/2019 09:51:54 am,0.031,388.46,428.11
10/26/2019 09:51:54 am,0.032,388.41,427.97
10/26/2019 09:51:54 am,0.033,387.95,428.24
10/26/2019 09:51:54 am,0.034,388.47,427.57
10/26/2019 09:51:54 am,0.035,388.47,427.43
10/26/2019 09:51:54 am,0.036000000000000004,388.06,427.41
10/26/2019 09:51:54 am,0.037000000000000005,388.03,427.73
10/26/2019 09:51:54 am,0.038,388.65,428.0
10/26/2019 09:51:54 am,0.039,388.27,427.62
10/26/2019 09:51:54 am,0.04,388.17,427.73
10/26/2019 09:51:54 am,0.040999999999999995,388.33,427.41
10/26/2019 09:51:54 am,0.042,388.44,427.57
10/26/2019 09:51:54 am,0.043,388.28,427.35
10/26/2019 09:51:54 am,0.044000000000000004,388.25,427.54
10/26/2019 09:51:54 am,0.045,388.52,427.49
10/26/2019 09:51:54 am,0.046,388.77,427.3
10/26/2019 09:51:54 am,0.047,388.71,427.33
