Date and Time,Time (s),Vertical Force A (N),Vertical Force B (N)
10/26/2019 11:01:24 am,0.0,315.56,461.36
10/26/2019 11:01:24 am,0.001,315.5,461.28
10/26/2019 11:01:24 am,0.002,315.26,461.17
10/26/2019 11:01:24 am,0.003,314.93,461.42
10/26/2019 11:01:24 am,0.004,314.72,461.55
10/26/2019 11:01:24 am,0.005,314.56,461.6
10/26/2019 11:01:24 am,0.006,313.83,460.95
10/26/2019 11:01:24 am,0.006999999999999999,313.85,461.87
10/26/2019 11:01:24 am,0.008,313.56,461.55
10/26/2019 11:01:24 am,0.009000000000000001,313.34,460.87
10/26/2019 11:01:24 am,0.01,313.02,461.03
10/26/2019 11:01:24 am,0.011000000000000001,312.48,460.6
10/26/2019 11:01:24 am,0.012,312.47,460.79
10/26/2019 11:01:24 am,0.013000000000000001,312.69,460.44
10/26/2019 11:01:24 am,0.013999999999999999,312.23,460.93
10/26/2019 11:01:24 am,0.015,311.91,460.71
10/26/2019 11:01:24 am,0.016,311.53,460.47
10/26/2019 11:01:24 am,0.017,310.99,460.41
10/26/2019 11:01:24 am,0.018000000000000002,311.07,459.92
10/26/2019 11:01:24 am,0.019,310.99,460.09
10/26/2019 11:01:24 am,0.02,310.91,460.28
10/26/2019 11:01:24 am,0.021,310.23,460.82
10/26/2019 11:01:24 am,0.022000000000000002,310.31,460.31
10/26/2019 11:01:24 am,0.023,310.01,460.14
10/26/2019 11:01:24 am,0.024,309.93,460.12
10/26/2019 11:01:24 am,0.025,309.74,460.42
10/26/2019 11:01:24 am,0.026000000000000002,309.26,460.23
10/26/2019 11:01:24 am,0.027000000000000003,309.45,460.55
10/26/2019 11:01:24 am,0.027999999999999997,308.2,460.31
10/26/2019 11:01:24 am,0.028999999999999998,308.5,460.42
10/26/2019 11:01:24 am,0.03,308.28,460.23
10/26/2019 11:01:24 am,0.031,308.36,460.31
10/26/2019 11:01:24 am,0.032,307.61,460.5
10/26/2019 11:01:24 am,0.033,307.15,460.63
10/26/2019 11:01:24 am,0.034,307.23,460.5
10/26/2019 11:01:24 am,0.035,307.8,460.77
10/26/2019 11:01:24 am,0.036000000000000004,306.85,460.87
10/26/2019 11:01:24 am,0.037000000000000005,306.66,460.85
10/26/2019 11:01:24 am,0.038,307.04,461.34
10/26/2019 11:01:24 am,0.039,306.77,461.2
10/26/2019 11:01:24 am,0.04,306.31,461.41
10/26/2019 11:01:24 am,0.040999999999999995,306.45,461.6
10/26/2019 11:01:24 am,0.042,306.23,461.85
10/26/2019 11:01:24 am,0.043,306.37,461.71
10/26/2019 11:01:24 am,0.044000000000000004,306.07,461.9
10/26/2019 11:01:24 am,0.045,305.77,462.28
10/26/2019 11:01:24 am,0.046,305.61,462.09
10/26/2019 11:01:24 am,0.047,305.53,462.36
10/26/2019 11:01:24 am,0.048,305.74,462.71
10/26/2019 11:01:24 am,0.049,305.69,462.42
10/26/2019 11:01:24 am,0.05,305.8,462.6
10/26/2019 11:01:24 am,0.051,305.5,462.82
10/26/2019 11:01:24 am,0.052000000000000005,305.26,463.12
10/26/2019 11:01:24 am,0.053,305.8,463.15
10/26/2019 11:01:24 am,0.054000000000000006,305.34,463.11
10/26/2019 11:01:24 am,0.055,305.75,463.26
10/26/2019 11:01:24 am,0.055999999999999994,305.45,463.66
10/26/2019 11:01:24 am,0.057,305.26,463.9
10/26/2019 11:01:24 am,0.057999999999999996,305.64,464.07
10/26/2019 11:01:24 am,0.059000000000000004,305.69,464.17
10/26/2019 11:01:24 am,0.06,305.2,464.58
10/26/2019 11:01:24 am,0.061,305.58,464.44
10/26/2019 11:01:24 am,0.062,305.75,464.34
10/26/2019 11:01:24 am,0.063,305.64,464.88
10/26/2019 11:01:24 am,0.064,305.99,465.66
10/26/2019 11:01:24 am,0.065,305.93,465.25
10/26/2019 11:01:24 am,0.066,305.96,465.14
10/26/2019 11:01:24 am,0.067,306.23,466.12
10/26/2019 11:01:24 am,0.068,306.31,465.6
10/26/2019 11:01:24 am,0.069,306.56,465.93
10/26/2019 11:01:24 am,0.07,306.75,465.82
10/26/2019 11:01:24 am,0.071,306.21,466.18
10/26/2019 11:01:24 am,0.07200000000000001,306.88,466.42
10/26/2019 11:01:24 am,0.073,306.67,466.85
10/26/2019 11:01:24 am,0.07400000000000001,307.02,466.88
10/26/2019 11:01:24 am,0.075,307.34,466.85
10/26/2019 11:01:24 am,0.076,307.48,467.12
10/26/2019 11:01:24 am,0.077,307.29,467.69
10/26/2019 11:01:24 am,0.078,307.39,467.66
10/26/2019 11:01:24 am,0.079,307.28,467.36
10/26/2019 11:01:24 am,0.08,307.45,468.09
10/26/2019 11:01:24 am,0.081,308.26,468.36
10/26/2019 11:01:24 am,0.08199999999999999,308.01,468.15
