Date and Time,Time (s),Vertical Force A (N),Vertical Force B (N)
10/26/2019 09:56:25 am,0.0,482.63,524.88
10/26/2019 09:56:25 am,0.001,482.74,525.06
10/26/2019 09:56:25 am,0.002,483.14,524.68
10/26/2019 09:56:25 am,0.003,483.22,524.57
10/26/2019 09:56:25 am,0.004,483.11,525.15
10/26/2019 09:56:25 am,0.005,483.33,524.77
10/26/2019 09:56:25 am,0.006,482.92,524.98
10/26/2019 09:56:25 am,0.006999999999999999,482.92,525.12
10/26/2019 09:56:25 am,0.008,482.84,524.61
10/26/2019 09:56:25 am,0.009000000000000001,482.79,524.85
10/26/2019 09:56:25 am,0.01,482.82,524.22
10/26/2019 09:56:25 am,0.011000000000000001,483.17,524.93
10/26/2019 09:56:25 am,0.012,482.71,524.8
10/26/2019 09:56:25 am,0.013000000000000001,482.74,524.25
10/26/2019 09:56:25 am,0.013999999999999999,482.44,524.63
10/26/2019 09:56:25 am,0.015,482.16,524.58
10/26/2019 09:56:25 am,0.016,482.41,524.31
10/26/2019 09:56:25 am,0.017,482.63,524.2
10/26/2019 09:56:25 am,0.018000000000000002,482.38,524.39
10/26/2019 09:56:25 am,0.019,482.79,524.2
10/26/2019 09:56:25 am,0.02,482.33,524.76
10/26/2019 09:56:25 am,0.021,482.54,524.26
10/26/2019 09:56:25 am,0.022000000000000002,482.38,523.77
10/26/2019 09:56:25 am,0.023,482.0,523.66
10/26/2019 09:56:25 am,0.024,481.97,523.66
10/26/2019 09:56:25 am,0.025,482.27,524.09
10/26/2019 09:56:25 am,0.026000000000000002,482.27,523.17
10/26/2019 09:56:25 am,0.027000000000000003,482.0,523.96
10/26/2019 09:56:25 am,0.027999999999999997,482.06,523.95
10/26/2019 09:56:25 am,0.028999999999999998,482.46,523.93
10/26/2019 09:56:25 am,0.03,482.22,523.47
10/26/2019 09:56:25 am,0.031,481.97,523.33
10/26/2019 09:56:25 am,0.032,482.0,523.76
10/26/2019 09:56:25 am,0.033,482.05,523.8
10/26/2019 09:56:25 am,0.034,482.05,523.96
10/26/2019 09:56:25 am,0.035,482.24,523.35
10/26/2019 09:56:25 am,0.036000000000000004,482.14,523.33
10/26/2019 09:56:25 am,0.037000000000000005,481.86,523.06
